epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6528735756874084,0.0010000000474974513,0.9037860631942749,0.5183486342430115,0.7826502919197083
1,0.888505756855011,0.0010000000474974513,0.38521626591682434,0.5,0.7915524840354919
2,0.9609195590019226,0.0010000000474974513,0.22935225069522858,0.5,1.1277098655700684
3,0.9850574731826782,0.0010000000474974513,0.17401647567749023,0.5,1.2677491903305054
4,0.9908046126365662,0.0010000000474974513,0.14862941205501556,0.5,1.3820964097976685
5,0.9919540286064148,0.0010000000474974513,0.151541605591774,0.5,1.5731980800628662
6,0.9965517520904541,0.0005000000237487257,0.1306908130645752,0.5,1.7954822778701782
7,0.9896551966667175,0.0005000000237487257,0.14741483330726624,0.5,1.6271330118179321
8,0.9965517520904541,0.0005000000237487257,0.12997938692569733,0.5229358077049255,1.3913284540176392
9,0.9954022765159607,0.0005000000237487257,0.1260271668434143,0.5871559381484985,1.185866355895996
10,0.9965517520904541,0.0005000000237487257,0.12493430823087692,0.747706413269043,0.6119576692581177
11,0.9965517520904541,0.0005000000237487257,0.12680427730083466,0.8990825414657593,0.3238244354724884
12,0.9954022765159607,0.0005000000237487257,0.12075939774513245,0.9174311757087708,0.30341821908950806
13,0.9988505840301514,0.0005000000237487257,0.11915495991706848,0.9541284441947937,0.22085028886795044
14,0.9988505840301514,0.0005000000237487257,0.11417672783136368,0.9724770784378052,0.16711778938770294
15,0.9977011680603027,0.0005000000237487257,0.11281830072402954,0.9908257126808167,0.12781411409378052
16,1.0,0.0005000000237487257,0.10907686501741409,0.9954128265380859,0.11356724053621292
17,0.9965517520904541,0.0005000000237487257,0.1130351796746254,1.0,0.10145986080169678
18,1.0,0.0005000000237487257,0.10461144894361496,1.0,0.09990546852350235
19,1.0,0.0005000000237487257,0.10294893383979797,1.0,0.09839272499084473
20,0.9988505840301514,0.0005000000237487257,0.10127636790275574,1.0,0.0968840941786766
21,0.9988505840301514,0.0005000000237487257,0.10532749444246292,1.0,0.09563314914703369
22,0.9988505840301514,0.0005000000237487257,0.09936197102069855,1.0,0.09400112181901932
23,1.0,0.0005000000237487257,0.0966687798500061,1.0,0.0925360769033432
24,0.9977011680603027,0.0005000000237487257,0.09742185473442078,1.0,0.091093510389328
25,0.9977011680603027,0.0005000000237487257,0.09516958147287369,1.0,0.08966922014951706
26,0.9965517520904541,0.0005000000237487257,0.10228091478347778,1.0,0.08835352212190628
27,0.9942528605461121,0.0005000000237487257,0.10753823816776276,1.0,0.08699925988912582
28,0.9977011680603027,0.0005000000237487257,0.0918126106262207,1.0,0.0856487825512886
29,0.9988505840301514,0.0005000000237487257,0.09024101495742798,1.0,0.08429104834794998
30,0.9977011680603027,0.0005000000237487257,0.0903155654668808,1.0,0.08307097107172012
31,0.9908046126365662,0.0005000000237487257,0.10734900087118149,1.0,0.08180983364582062
32,0.9977011680603027,0.0005000000237487257,0.0899541825056076,1.0,0.08113639801740646
33,0.9977011680603027,0.0005000000237487257,0.08760188519954681,1.0,0.07973697036504745
34,0.9977011680603027,0.0005000000237487257,0.08689995855093002,1.0,0.07867231965065002
35,0.9965517520904541,0.0005000000237487257,0.08776282519102097,1.0,0.07741408050060272
36,1.0,0.0005000000237487257,0.0801682248711586,1.0,0.07625298947095871
37,0.9988505840301514,0.0005000000237487257,0.08190468698740005,1.0,0.07514463365077972
38,1.0,0.0005000000237487257,0.0779321938753128,1.0,0.07395624369382858
39,0.9988505840301514,0.0005000000237487257,0.07559564709663391,1.0,0.07281351834535599
40,1.0,0.0005000000237487257,0.07422392070293427,1.0,0.07167573273181915
41,0.9977011680603027,0.0005000000237487257,0.08054820448160172,1.0,0.07054182887077332
42,0.9977011680603027,0.0005000000237487257,0.07894556224346161,1.0,0.06946185976266861
43,0.9965517520904541,0.0005000000237487257,0.07786082476377487,1.0,0.06836176663637161
44,0.9988505840301514,0.0005000000237487257,0.07262848317623138,1.0,0.06763645261526108
45,0.9965517520904541,0.0005000000237487257,0.08032310754060745,1.0,0.06659314036369324
46,0.9988505840301514,0.0005000000237487257,0.06938213855028152,1.0,0.06539802253246307
47,0.9965517520904541,0.0005000000237487257,0.07681666314601898,1.0,0.06437800079584122
48,1.0,0.0005000000237487257,0.06687644124031067,1.0,0.06336264312267303
49,1.0,0.0005000000237487257,0.06427488476037979,1.0,0.0623631477355957
